Task,System,Subsystem,Upregulated_in_CRC
(R)-3-Hydroxybutanoate synthesis,CARBOHYDRATES METABOLISM,KETOGENESIS,0
3'-Phospho-5'-adenylyl sulfate synthesis,NUCLEOTIDE METABOLISM,COFACTOR,0
AMP salvage from adenine,NUCLEOTIDE METABOLISM,SALVAGE,0
ATP generation from glucose (hypoxic conditions) - glycolysis,ENERGY METABOLISM,ATP GENERATION,1
ATP regeneration from glucose (normoxic conditions) - glycolysis + krebs cycle,ENERGY METABOLISM,ATP GENERATION,0
Acetoacetate synthesis,LIPIDS METABOLISM,CHOLESTEROL METABOLISM,0
Alanine degradation,AMINO ACIDS METABOLISM,ALANINE METABOLISM,0
Alanine synthesis,AMINO ACIDS METABOLISM,ALANINE METABOLISM,1
Arachidonate degradation,LIPIDS METABOLISM,FATTY ACID METABOLISM,0
Arachidonate synthesis,LIPIDS METABOLISM,FATTY ACID METABOLISM,1
Arginine degradation,AMINO ACIDS METABOLISM,ARGININE METABOLISM,0
Arginine synthesis,AMINO ACIDS METABOLISM,ARGININE METABOLISM,1
Asparagine degradation,AMINO ACIDS METABOLISM,ASPARAGINE METABOLISM,0
Asparagine synthesis,AMINO ACIDS METABOLISM,ASPARAGINE METABOLISM,1
Aspartate degradation,AMINO ACIDS METABOLISM,ASPARTATE METABOLISM,0
Aspartate synthesis,AMINO ACIDS METABOLISM,ASPARTATE METABOLISM,1
Beta-alanine to 3-oxopropanoate,AMINO ACIDS METABOLISM,BETA-ALANINE METABOLISM,0
Biosynthesis of Tn_antigen (Glycoprotein N-acetyl-D-galactosamine),GLYCAN METABOLISM,O-GLYCAN METABOLISM,0
"Biosynthesis of core2 (beta-D-Galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl-R)",GLYCAN METABOLISM,O-GLYCAN METABOLISM,0
"Biosynthesis of core4 (N-Acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,3)-N-acetyl-D-galactosaminyl-R)",GLYCAN METABOLISM,O-GLYCAN METABOLISM,0
Branching (N-acetylglucosaminyltransferases),Processing in the Golgi,N-glycan processing (Golgi),0
CMP-N-acetylneuraminate synthesis,CARBOHYDRATES METABOLISM,AMINO SUGARS METABOLISM,0
Calnexin/calreticulin cycle,Processing in the ER,Protein folding,0
Cardiolipin synthesis,LIPIDS METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM,0
Ceramide synthesis,LIPIDS METABOLISM,SPHINGOLIPID METABOLISM,1
Cholesterol synthesis,LIPIDS METABOLISM,CHOLESTEROL METABOLISM,0
Co-translational translocation,Translocation,Translocation,0
"Conversion of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate to 1D-myo-inositol 1,4,5-trisphosphate",CARBOHYDRATES METABOLISM,PHOSPHATE INOSITOL METABOLISM,0
Conversion of GABA into succinate,AMINO ACIDS METABOLISM,GLUTAMATE METABOLISM,0
Conversion of asparate to asparagine,AMINO ACIDS METABOLISM,ASPARTATE METABOLISM,0
Conversion of aspartate to arginine,AMINO ACIDS METABOLISM,ASPARTATE METABOLISM,0
Conversion of aspartate to beta-alanine,AMINO ACIDS METABOLISM,ASPARTATE METABOLISM,0
Conversion of carnosine to beta-alanine,AMINO ACIDS METABOLISM,BETA-ALANINE METABOLISM,0
Conversion of glutamate to glutamine,AMINO ACIDS METABOLISM,GLUTAMATE METABOLISM,0
Conversion of glutamate to proline,AMINO ACIDS METABOLISM,GLUTAMATE METABOLISM,0
Conversion of glycine to pyruvate,AMINO ACIDS METABOLISM,GLYCINE METABOLISM,0
Conversion of histidine to glutamate,AMINO ACIDS METABOLISM,HISTIDINE METABOLISM,0
Conversion of histidine to histamine,AMINO ACIDS METABOLISM,HISTIDINE METABOLISM,0
Conversion of leucine to acetyl-coA,AMINO ACIDS METABOLISM,LEUCINE METABOLISM,0
Conversion of lysine to L-2-Aminoadipate,AMINO ACIDS METABOLISM,LYSINE METABOLISM,0
Conversion of lysine to L-Saccharopine,AMINO ACIDS METABOLISM,LYSINE METABOLISM,0
Cysteine degradation,AMINO ACIDS METABOLISM,CYSTEINE METABOLISM,0
Cysteine synthesis (need serine and methionine),AMINO ACIDS METABOLISM,CYSTEINE METABOLISM,0
Cytidine triphosphate synthesis (CTP),NUCLEOTIDE METABOLISM,UMP SYNTHESIS,0
Degradation of adenine to urate,NUCLEOTIDE METABOLISM,PURINE CATABOLISM,0
Degradation of cytosine,NUCLEOTIDE METABOLISM,PYRIMIDINE CATABOLISM,0
Degradation of guanine to urate,NUCLEOTIDE METABOLISM,PURINE CATABOLISM,0
Degradation of n2m2nmasn,GLYCAN METABOLISM,N-GLYCAN METABOLISM,0
Degradation of s2l2fn2m2masn,GLYCAN METABOLISM,N-GLYCAN METABOLISM,0
Degradation of uracil,NUCLEOTIDE METABOLISM,PYRIMIDINE CATABOLISM,0
Deoxyadenosine triphosphate synthesis (dATP),NUCLEOTIDE METABOLISM,DEOXYNUCLEOTIDES SYNTHESIS,1
Deoxycytidine triphosphate synthesis (dCTP),NUCLEOTIDE METABOLISM,DEOXYNUCLEOTIDES SYNTHESIS,1
Deoxyguanosine triphosphate synthesis (dGTP),NUCLEOTIDE METABOLISM,DEOXYNUCLEOTIDES SYNTHESIS,1
Deoxythymidine triphosphate synthesis (dTTP),NUCLEOTIDE METABOLISM,DEOXYNUCLEOTIDES SYNTHESIS,1
Deoxyuridine triphosphate synthesis (dUTP),NUCLEOTIDE METABOLISM,DEOXYNUCLEOTIDES SYNTHESIS,0
Disulfide bond formation,Processing in the ER,PTMs,0
